# time x y z qx qy qz qw vx vy vz ba_x ba_y ba_z bg_x bg_y bg_z
0.345000000 9.998164597 9.992659736 9.970660497 0.148771387 0.151134608 0.091086451 0.972999827 -0.010639365 -0.042541839 -0.169917541 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.350000000 9.998111015 9.992445487 9.969804777 0.150953739 0.153058648 0.092643850 0.972215581 -0.010793520 -0.043157770 -0.172370253 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.355000000 9.998056662 9.992228159 9.968936795 0.153134646 0.154973812 0.094206107 0.971420664 -0.010947674 -0.043773675 -0.174822539 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.360000000 9.998001538 9.992007751 9.968056553 0.155314017 0.156880061 0.095773134 0.970615119 -0.011101826 -0.044389553 -0.177274395 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.365000000 9.997945644 9.991784263 9.967164052 0.157491761 0.158777357 0.097344845 0.969798988 -0.011255976 -0.045005404 -0.179725813 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.370000000 9.997888978 9.991557697 9.966259295 0.159667789 0.160665664 0.098921150 0.968972315 -0.011410124 -0.045621226 -0.182176787 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.375000000 9.997831543 9.991328051 9.965342285 0.161842011 0.162544945 0.100501961 0.968135146 -0.011564271 -0.046237021 -0.184627312 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.380000000 9.997773336 9.991095326 9.964413023 0.164014337 0.164415166 0.102087190 0.967287525 -0.011718415 -0.046852787 -0.187077382 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.385000000 9.997714358 9.990859523 9.963471512 0.166184678 0.166276291 0.103676748 0.966429501 -0.011872558 -0.047468524 -0.189526989 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.390000000 9.997654610 9.990620641 9.962517754 0.168352946 0.168128287 0.105270546 0.965561120 -0.012026700 -0.048084232 -0.191976130 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
